county,code,age_group,year,deaths,pop,age,mx
"Alameda County, CA",6001,< 1 year,1999,110,19336,0,0.005688870500620604
"Alameda County, CA",6001,< 1 year,2000,104,19397,0,0.005361653863999587
"Alameda County, CA",6001,< 1 year,2001,133,22044,0,0.006033387769914716
"Alameda County, CA",6001,< 1 year,2002,91,21316,0,0.004269093638581347
"Alameda County, CA",6001,< 1 year,2003,97,21091,0,0.0045991181072495375
"Alameda County, CA",6001,< 1 year,2004,111,20339,0,0.0054574954520871235
"Alameda County, CA",6001,< 1 year,2005,105,19636,0,0.005347321246689753
"Alameda County, CA",6001,< 1 year,2006,91,19532,0,0.004659021093590007
"Alameda County, CA",6001,< 1 year,2007,105,19838,0,0.00529287226534933
"Alameda County, CA",6001,< 1 year,2008,89,19782,0,0.004499039530886664
"Alameda County, CA",6001,< 1 year,2009,77,18907,0,0.0040725657164013326
"Alameda County, CA",6001,< 1 year,2010,94,19010,0,0.004944765912677538
"Alameda County, CA",6001,< 1 year,2011,79,19191,0,0.004116512948778073
"Alameda County, CA",6001,< 1 year,2012,75,18970,0,0.003953610964681075
"Alameda County, CA",6001,< 1 year,2013,86,19469,0,0.00441727875083466
"Alameda County, CA",6001,< 1 year,2014,76,19475,0,0.003902439024390244
"Alameda County, CA",6001,< 1 year,2015,75,19793,0,0.003789218410549184
"Alameda County, CA",6001,< 1 year,2016,71,19966,0,0.0035560452769708506
"Alameda County, CA",6001,1-4 years,1999,17,79850,1,2.128991859737007e-4
"Alameda County, CA",6001,1-4 years,2000,22,78981,1,2.7854800521644445e-4
"Alameda County, CA",6001,1-4 years,2001,15,77953,1,1.9242363988557207e-4
"Alameda County, CA",6001,1-4 years,2002,13,77912,1,1.668549132354451e-4
"Alameda County, CA",6001,1-4 years,2003,13,78092,1,1.6647031706192695e-4
"Alameda County, CA",6001,1-4 years,2004,16,78711,1,2.0327527283353026e-4
"Alameda County, CA",6001,1-4 years,2005,10,79356,1,1.2601441604919602e-4
"Alameda County, CA",6001,1-4 years,2006,21,78080,1,2.689549180327869e-4
"Alameda County, CA",6001,1-4 years,2007,18,77934,1,2.3096466240665178e-4
"Alameda County, CA",6001,1-4 years,2008,15,78653,1,1.9071109811450294e-4
"Alameda County, CA",6001,1-4 years,2009,18,79065,1,2.2766078542970974e-4
"Alameda County, CA",6001,1-4 years,2010,12,78642,1,1.5259021896696422e-4
"Alameda County, CA",6001,1-4 years,2011,12,78591,1,1.5268923922586556e-4
"Alameda County, CA",6001,1-4 years,2012,15,78511,1,1.9105603036517177e-4
"Alameda County, CA",6001,1-4 years,2013,10,77651,1,1.2878134215914798e-4
"Alameda County, CA",6001,1-4 years,2014,11,78026,1,1.4097864814292672e-4
"Alameda County, CA",6001,1-4 years,2016,10,77826,1,1.2849176367794824e-4
"Alameda County, CA",6001,5-9 years,1999,14,105925,5,1.321689874911494e-4
"Alameda County, CA",6001,5-9 years,2000,14,104648,5,1.3378182096170018e-4
"Alameda County, CA",6001,5-9 years,2001,16,101659,5,1.573889178528217e-4
"Alameda County, CA",6001,5-9 years,2002,15,97100,5,1.544799176107106e-4
"Alameda County, CA",6001,5-9 years,2003,10,93360,5,1.0711225364181663e-4
"Alameda County, CA",6001,5-9 years,2004,13,89894,5,1.4461476850512826e-4
"Alameda County, CA",6001,5-9 years,2006,15,87078,5,1.7225935368290498e-4
"Alameda County, CA",6001,5-9 years,2007,11,87486,5,1.2573440321880073e-4
"Alameda County, CA",6001,10-14 years,1999,16,94557,10,1.6921010607358523e-4
"Alameda County, CA",6001,10-14 years,2000,19,96769,10,1.9634387045438105e-4
"Alameda County, CA",6001,10-14 years,2001,17,99376,10,1.7106746095636773e-4
"Alameda County, CA",6001,10-14 years,2002,13,100049,10,1.2993633119771312e-4
"Alameda County, CA",6001,10-14 years,2003,19,99504,10,1.9094709760411643e-4
"Alameda County, CA",6001,10-14 years,2004,13,98191,10,1.3239502602071474e-4
"Alameda County, CA",6001,10-14 years,2005,22,96345,10,2.2834604805646374e-4
"Alameda County, CA",6001,10-14 years,2006,13,94701,10,1.3727415761185204e-4
"Alameda County, CA",6001,10-14 years,2008,15,92215,10,1.626633411050263e-4
"Alameda County, CA",6001,10-14 years,2009,13,91700,10,1.4176663031624864e-4
"Alameda County, CA",6001,10-14 years,2010,11,91070,10,1.2078620841111233e-4
"Alameda County, CA",6001,10-14 years,2011,11,91122,10,1.2071728012993569e-4
"Alameda County, CA",6001,10-14 years,2013,12,92318,10,1.299854849541801e-4
"Alameda County, CA",6001,15-19 years,1999,48,90982,15,5.275768833395616e-4
"Alameda County, CA",6001,15-19 years,2000,36,92448,15,3.894080996884735e-4
"Alameda County, CA",6001,15-19 years,2001,41,91613,15,4.475347385196424e-4
"Alameda County, CA",6001,15-19 years,2002,57,91251,15,6.246506887595752e-4
"Alameda County, CA",6001,15-19 years,2003,51,91939,15,5.547156266655065e-4
"Alameda County, CA",6001,15-19 years,2004,50,93049,15,5.373512880310374e-4
"Alameda County, CA",6001,15-19 years,2005,51,94626,15,5.389639211210449e-4
"Alameda County, CA",6001,15-19 years,2006,66,96464,15,6.841930668435893e-4
"Alameda County, CA",6001,15-19 years,2007,54,98610,15,5.476118040766656e-4
"Alameda County, CA",6001,15-19 years,2008,47,99861,15,4.706542093509979e-4
"Alameda County, CA",6001,15-19 years,2009,43,100480,15,4.279458598726115e-4
"Alameda County, CA",6001,15-19 years,2010,51,100394,15,5.079984859652967e-4
"Alameda County, CA",6001,15-19 years,2011,34,97411,15,3.490365564463972e-4
"Alameda County, CA",6001,15-19 years,2012,49,96473,15,5.079141314150073e-4
"Alameda County, CA",6001,15-19 years,2013,43,95576,15,4.4990374152506903e-4
"Alameda County, CA",6001,15-19 years,2014,38,94703,15,4.0125444811674394e-4
"Alameda County, CA",6001,15-19 years,2015,46,94309,15,4.877583263527341e-4
"Alameda County, CA",6001,15-19 years,2016,37,94192,15,3.9281467640563957e-4
"Alameda County, CA",6001,20-24 years,1999,71,97154,20,7.307985260514235e-4
"Alameda County, CA",6001,20-24 years,2000,71,100745,20,7.047496153655268e-4
"Alameda County, CA",6001,20-24 years,2001,83,107058,20,7.752806889723328e-4
"Alameda County, CA",6001,20-24 years,2002,76,106899,20,7.109514588536844e-4
"Alameda County, CA",6001,20-24 years,2003,89,104734,20,8.497718028529417e-4
"Alameda County, CA",6001,20-24 years,2004,75,102387,20,7.32514870051862e-4
"Alameda County, CA",6001,20-24 years,2005,72,100171,20,7.187709017579939e-4
"Alameda County, CA",6001,20-24 years,2006,94,99123,20,9.48316737790422e-4
"Alameda County, CA",6001,20-24 years,2007,99,100332,20,9.86724076067456e-4
"Alameda County, CA",6001,20-24 years,2008,89,102938,20,8.645981075987488e-4
"Alameda County, CA",6001,20-24 years,2009,89,105718,20,8.418623129457614e-4
"Alameda County, CA",6001,20-24 years,2010,73,107049,20,6.819307046305897e-4
"Alameda County, CA",6001,20-24 years,2011,69,110146,20,6.264412688613295e-4
"Alameda County, CA",6001,20-24 years,2012,84,111074,20,7.562525883645137e-4
"Alameda County, CA",6001,20-24 years,2013,74,110518,20,6.695741870102607e-4
"Alameda County, CA",6001,20-24 years,2014,87,108831,20,7.994045814152217e-4
"Alameda County, CA",6001,20-24 years,2015,82,105703,20,7.757584931364295e-4
"Alameda County, CA",6001,20-24 years,2016,77,103215,20,7.460155985079688e-4
"Alameda County, CA",6001,25-34 years,1999,194,241717,25,8.025914602613801e-4
"Alameda County, CA",6001,25-34 years,2000,193,241073,25,8.005873739489698e-4
"Alameda County, CA",6001,25-34 years,2001,179,245773,25,7.283143388411257e-4
"Alameda County, CA",6001,25-34 years,2002,195,240571,25,8.105715152699203e-4
"Alameda County, CA",6001,25-34 years,2003,187,234586,25,7.971490199756166e-4
"Alameda County, CA",6001,25-34 years,2004,201,229447,25,8.760192985743984e-4
"Alameda County, CA",6001,25-34 years,2005,171,224524,25,7.616112308706419e-4
"Alameda County, CA",6001,25-34 years,2006,194,222914,25,8.702907847869582e-4
"Alameda County, CA",6001,25-34 years,2007,167,222816,25,7.494973430992388e-4
"Alameda County, CA",6001,25-34 years,2008,169,225573,25,7.492031404467733e-4
"Alameda County, CA",6001,25-34 years,2009,156,227860,25,6.846309137189502e-4
"Alameda County, CA",6001,25-34 years,2010,120,228204,25,5.258452963138244e-4
"Alameda County, CA",6001,25-34 years,2011,173,231958,25,7.458246751567094e-4
"Alameda County, CA",6001,25-34 years,2012,163,238151,25,6.844397042212714e-4
"Alameda County, CA",6001,25-34 years,2013,159,247245,25,6.430868167202572e-4
"Alameda County, CA",6001,25-34 years,2014,180,258022,25,6.976149320600569e-4
"Alameda County, CA",6001,25-34 years,2015,178,267146,25,6.663023215769654e-4
"Alameda County, CA",6001,25-34 years,2016,214,273552,25,7.823009884775107e-4
"Alameda County, CA",6001,35-44 years,1999,426,248002,35,0.0017177280828380417
"Alameda County, CA",6001,35-44 years,2000,435,248706,35,0.0017490530988395938
"Alameda County, CA",6001,35-44 years,2001,401,250113,35,0.001603275319555561
"Alameda County, CA",6001,35-44 years,2002,396,245335,35,0.0016141194692970836
"Alameda County, CA",6001,35-44 years,2003,419,240863,35,0.0017395781004139283
"Alameda County, CA",6001,35-44 years,2004,345,237185,35,0.0014545607858844362
"Alameda County, CA",6001,35-44 years,2005,343,234413,35,0.0014632294284020084
"Alameda County, CA",6001,35-44 years,2006,337,232656,35,0.0014484904752080324
"Alameda County, CA",6001,35-44 years,2007,329,230178,35,0.0014293286065566648
"Alameda County, CA",6001,35-44 years,2008,310,229501,35,0.0013507566415832612
"Alameda County, CA",6001,35-44 years,2009,292,228393,35,0.0012784980275227348
"Alameda County, CA",6001,35-44 years,2010,253,227491,35,0.0011121319085150622
"Alameda County, CA",6001,35-44 years,2011,262,228491,35,0.001146653478692815
"Alameda County, CA",6001,35-44 years,2012,263,231611,35,0.0011355246512471343
"Alameda County, CA",6001,35-44 years,2013,260,234457,35,0.0011089453503201013
"Alameda County, CA",6001,35-44 years,2014,261,237950,35,0.0010968690901449884
"Alameda County, CA",6001,35-44 years,2015,279,241553,35,0.001155026019134517
"Alameda County, CA",6001,35-44 years,2016,273,243703,35,0.00112021600062371
"Alameda County, CA",6001,45-54 years,1999,779,193313,45,0.004029734161696316
"Alameda County, CA",6001,45-54 years,2000,799,200518,45,0.003984679679629759
"Alameda County, CA",6001,45-54 years,2001,783,208224,45,0.0037603734439834026
"Alameda County, CA",6001,45-54 years,2002,836,208405,45,0.004011420071495406
"Alameda County, CA",6001,45-54 years,2003,827,209716,45,0.003943428255354861
"Alameda County, CA",6001,45-54 years,2004,825,210015,45,0.003928290836368831
"Alameda County, CA",6001,45-54 years,2005,812,211147,45,0.003845662026929106
"Alameda County, CA",6001,45-54 years,2006,758,212916,45,0.003560089424937534
"Alameda County, CA",6001,45-54 years,2007,768,215481,45,0.0035641193423086026
"Alameda County, CA",6001,45-54 years,2008,735,218481,45,0.003364136927238524
"Alameda County, CA",6001,45-54 years,2009,708,221319,45,0.00319900234503138
"Alameda County, CA",6001,45-54 years,2010,629,222617,45,0.002825480533831648
"Alameda County, CA",6001,45-54 years,2011,677,223527,45,0.0030287168887874845
"Alameda County, CA",6001,45-54 years,2012,675,223640,45,0.0030182436057950277
"Alameda County, CA",6001,45-54 years,2013,647,223937,45,0.002889205446174594
"Alameda County, CA",6001,45-54 years,2014,549,225227,45,0.0024375407921785578
"Alameda County, CA",6001,45-54 years,2015,598,226423,45,0.002641074449150484
"Alameda County, CA",6001,45-54 years,2016,603,226342,45,0.002664110063532177
"Alameda County, CA",6001,55-64 years,1999,1078,109679,55,0.00982868188076113
"Alameda County, CA",6001,55-64 years,2000,1069,112865,55,0.009471492491029106
"Alameda County, CA",6001,55-64 years,2001,1009,117880,55,0.008559552086868002
"Alameda County, CA",6001,55-64 years,2002,1066,125347,55,0.008504391808340048
"Alameda County, CA",6001,55-64 years,2003,1130,131580,55,0.008587931296549627
"Alameda County, CA",6001,55-64 years,2004,1064,137408,55,0.007743362831858407
"Alameda County, CA",6001,55-64 years,2005,1084,143565,55,0.007550586842196914
"Alameda County, CA",6001,55-64 years,2006,1106,149131,55,0.007416298422192569
"Alameda County, CA",6001,55-64 years,2007,1211,155199,55,0.007802885327869381
"Alameda County, CA",6001,55-64 years,2008,1176,161203,55,0.007295149593990186
"Alameda County, CA",6001,55-64 years,2009,1141,168179,55,0.006784438009501781
"Alameda County, CA",6001,55-64 years,2010,1159,173502,55,0.006680038270452214
"Alameda County, CA",6001,55-64 years,2011,1319,181595,55,0.007263415842947218
"Alameda County, CA",6001,55-64 years,2012,1283,185516,55,0.006915845533538886
"Alameda County, CA",6001,55-64 years,2013,1273,190053,55,0.006698131573824144
"Alameda County, CA",6001,55-64 years,2014,1301,194231,55,0.006698209863513034
"Alameda County, CA",6001,55-64 years,2015,1291,198276,55,0.006511125905303718
"Alameda County, CA",6001,55-64 years,2016,1274,200861,55,0.00634269469931943
"Alameda County, CA",6001,65-74 years,1999,1779,75978,65,0.02341467266840401
"Alameda County, CA",6001,65-74 years,2000,1645,75699,65,0.021730802256304575
"Alameda County, CA",6001,65-74 years,2001,1531,74895,65,0.02044195206622605
"Alameda County, CA",6001,65-74 years,2002,1517,74531,65,0.020353946679905005
"Alameda County, CA",6001,65-74 years,2003,1445,74989,65,0.019269492858952648
"Alameda County, CA",6001,65-74 years,2004,1452,75388,65,0.019260359738950496
"Alameda County, CA",6001,65-74 years,2005,1362,76270,65,0.017857611118395175
"Alameda County, CA",6001,65-74 years,2006,1385,77509,65,0.017868892644725128
"Alameda County, CA",6001,65-74 years,2007,1368,79677,65,0.017169321134078843
"Alameda County, CA",6001,65-74 years,2008,1341,83544,65,0.01605142200517093
"Alameda County, CA",6001,65-74 years,2009,1333,87331,65,0.01526376658918368
"Alameda County, CA",6001,65-74 years,2010,1348,90437,65,0.014905403761734689
"Alameda County, CA",6001,65-74 years,2011,1353,95674,65,0.0141417731045007
"Alameda County, CA",6001,65-74 years,2012,1528,102908,65,0.014848213938663661
"Alameda County, CA",6001,65-74 years,2013,1599,109396,65,0.014616622179970017
"Alameda County, CA",6001,65-74 years,2014,1624,115516,65,0.0140586585408082
"Alameda County, CA",6001,65-74 years,2015,1698,121706,65,0.013951653985834717
"Alameda County, CA",6001,65-74 years,2016,1750,127294,65,0.013747702169780194
"Alameda County, CA",6001,75-84 years,1999,2748,52304,75,0.052539002753135514
"Alameda County, CA",6001,75-84 years,2000,2792,53069,75,0.052610752039797246
"Alameda County, CA",6001,75-84 years,2001,2841,53860,75,0.052747864834756776
"Alameda County, CA",6001,75-84 years,2002,2714,54211,75,0.05006364022061943
"Alameda County, CA",6001,75-84 years,2003,2719,54071,75,0.05028573542194522
"Alameda County, CA",6001,75-84 years,2004,2517,53799,75,0.04678525623152847
"Alameda County, CA",6001,75-84 years,2005,2512,53857,75,0.04664203353324545
"Alameda County, CA",6001,75-84 years,2006,2395,53019,75,0.04517248533544578
"Alameda County, CA",6001,75-84 years,2007,2316,52975,75,0.04371873525247758
"Alameda County, CA",6001,75-84 years,2008,2271,52624,75,0.04315521435086653
"Alameda County, CA",6001,75-84 years,2009,2103,52618,75,0.039967311566384126
"Alameda County, CA",6001,75-84 years,2010,2088,52576,75,0.039713937918441876
"Alameda County, CA",6001,75-84 years,2011,2137,53050,75,0.040282752120640905
"Alameda County, CA",6001,75-84 years,2012,2019,53499,75,0.03773902315931139
"Alameda County, CA",6001,75-84 years,2013,2040,54534,75,0.03740785564968643
"Alameda County, CA",6001,75-84 years,2014,2015,56157,75,0.03588154637890201
"Alameda County, CA",6001,75-84 years,2015,2059,57410,75,0.03586483191081693
"Alameda County, CA",6001,75-84 years,2016,2137,58837,75,0.03632068256369291
"Alameda County, CA",6001,85+ years,1999,2629,18317,85,0.14352787028443523
"Alameda County, CA",6001,85+ years,2000,2687,18823,85,0.14275088986877757
"Alameda County, CA",6001,85+ years,2001,2720,19036,85,0.14288716116831268
"Alameda County, CA",6001,85+ years,2002,2617,19179,85,0.13645132697220919
"Alameda County, CA",6001,85+ years,2003,2748,19638,85,0.13993278337916285
"Alameda County, CA",6001,85+ years,2004,2586,19908,85,0.12989752863170584
"Alameda County, CA",6001,85+ years,2005,2782,20643,85,0.13476723344475125
"Alameda County, CA",6001,85+ years,2006,2831,21361,85,0.1325312485370535
"Alameda County, CA",6001,85+ years,2007,2874,22277,85,0.12901198545585132
"Alameda County, CA",6001,85+ years,2008,2974,23033,85,0.12911909000130248
"Alameda County, CA",6001,85+ years,2009,2922,24114,85,0.12117442149788504
"Alameda County, CA",6001,85+ years,2010,3064,24733,85,0.1238830712004205
"Alameda County, CA",6001,85+ years,2011,3041,26156,85,0.11626395473313962
"Alameda County, CA",6001,85+ years,2012,3253,27032,85,0.12033885765019237
"Alameda County, CA",6001,85+ years,2013,3376,27707,85,0.12184646479229076
"Alameda County, CA",6001,85+ years,2014,3276,28303,85,0.11574744726707416
"Alameda County, CA",6001,85+ years,2015,3476,28922,85,0.12018532604937418
"Alameda County, CA",6001,85+ years,2016,3462,29285,85,0.11821751750042683
"Amador County, CA",6005,35-44 years,1999,10,5773,35,0.0017322016282695306
"Amador County, CA",6005,35-44 years,2002,12,5505,35,0.0021798365122615805
"Amador County, CA",6005,35-44 years,2003,11,5399,35,0.002037414335988146
"Amador County, CA",6005,35-44 years,2004,14,5346,35,0.002618780396558174
"Amador County, CA",6005,35-44 years,2009,11,4639,35,0.002371200689803837
"Amador County, CA",6005,35-44 years,2010,17,4518,35,0.0037627268702965914
"Amador County, CA",6005,35-44 years,2011,11,4335,35,0.0025374855824682814
"Amador County, CA",6005,35-44 years,2013,10,4009,35,0.002494387627837366
"Amador County, CA",6005,35-44 years,2016,12,4068,35,0.0029498525073746312
"Amador County, CA",6005,45-54 years,1999,20,5493,45,0.0036409976333515383
"Amador County, CA",6005,45-54 years,2000,26,5545,45,0.004688908926961226
"Amador County, CA",6005,45-54 years,2001,30,5978,45,0.005018400802944129
"Amador County, CA",6005,45-54 years,2002,20,6047,45,0.00330742516950554
"Amador County, CA",6005,45-54 years,2003,31,6148,45,0.0050422901756668834
"Amador County, CA",6005,45-54 years,2004,26,6260,45,0.004153354632587859
"Amador County, CA",6005,45-54 years,2005,35,6475,45,0.005405405405405406
"Amador County, CA",6005,45-54 years,2006,30,6532,45,0.004592774035517453
"Amador County, CA",6005,45-54 years,2007,36,6631,45,0.005429045392851757
"Amador County, CA",6005,45-54 years,2008,30,6536,45,0.004589963280293758
"Amador County, CA",6005,45-54 years,2009,34,6494,45,0.005235602094240838
"Amador County, CA",6005,45-54 years,2010,48,6369,45,0.007536504945831371
"Amador County, CA",6005,45-54 years,2011,22,6063,45,0.003628566716147122
"Amador County, CA",6005,45-54 years,2012,25,5868,45,0.004260395364689844
"Amador County, CA",6005,45-54 years,2013,27,5550,45,0.004864864864864865
"Amador County, CA",6005,45-54 years,2014,21,5386,45,0.0038989974006683995
"Amador County, CA",6005,45-54 years,2015,18,5273,45,0.0034136165370756686
"Amador County, CA",6005,45-54 years,2016,13,5134,45,0.002532138683287885
"Amador County, CA",6005,55-64 years,1999,26,4113,55,0.006321419888159494
"Amador County, CA",6005,55-64 years,2000,41,4222,55,0.009711037423022264
"Amador County, CA",6005,55-64 years,2001,36,4604,55,0.007819287576020852
"Amador County, CA",6005,55-64 years,2002,44,5122,55,0.008590394377196407
"Amador County, CA",6005,55-64 years,2003,52,5369,55,0.009685230024213076
"Amador County, CA",6005,55-64 years,2004,33,5629,55,0.005862497779356901
"Amador County, CA",6005,55-64 years,2005,44,5922,55,0.007429922323539345
"Amador County, CA",6005,55-64 years,2006,43,6268,55,0.006860242501595405
"Amador County, CA",6005,55-64 years,2007,49,6494,55,0.007545426547582384
"Amador County, CA",6005,55-64 years,2008,50,6686,55,0.007478312892611427
"Amador County, CA",6005,55-64 years,2009,59,6750,55,0.00874074074074074
"Amador County, CA",6005,55-64 years,2010,42,6796,55,0.006180105944673337
"Amador County, CA",6005,55-64 years,2011,46,6822,55,0.0067428906479038405
"Amador County, CA",6005,55-64 years,2012,66,6630,55,0.009954751131221719
"Amador County, CA",6005,55-64 years,2013,46,6579,55,0.006991944064447485
"Amador County, CA",6005,55-64 years,2014,51,6515,55,0.00782808902532617
"Amador County, CA",6005,55-64 years,2015,54,6476,55,0.008338480543545398
"Amador County, CA",6005,55-64 years,2016,54,6443,55,0.008381188887164364
"Amador County, CA",6005,65-74 years,1999,67,3454,65,0.019397799652576722
"Amador County, CA",6005,65-74 years,2000,73,3445,65,0.02119013062409289
"Amador County, CA",6005,65-74 years,2001,78,3442,65,0.02266124346310285
"Amador County, CA",6005,65-74 years,2002,66,3474,65,0.018998272884283247
"Amador County, CA",6005,65-74 years,2003,72,3519,65,0.020460358056265986
"Amador County, CA",6005,65-74 years,2004,59,3583,65,0.016466648060284677
"Amador County, CA",6005,65-74 years,2005,75,3713,65,0.020199299757608404
"Amador County, CA",6005,65-74 years,2006,70,3781,65,0.018513620735255223
"Amador County, CA",6005,65-74 years,2007,61,3946,65,0.015458692346680182
"Amador County, CA",6005,65-74 years,2008,71,4108,65,0.017283349561830575
"Amador County, CA",6005,65-74 years,2009,70,4302,65,0.016271501627150162
"Amador County, CA",6005,65-74 years,2010,69,4455,65,0.015488215488215488
"Amador County, CA",6005,65-74 years,2011,77,4659,65,0.016527151749302426
"Amador County, CA",6005,65-74 years,2012,83,5028,65,0.01650755767700875
"Amador County, CA",6005,65-74 years,2013,85,5265,65,0.016144349477682812
"Amador County, CA",6005,65-74 years,2014,80,5553,65,0.014406627048442283
"Amador County, CA",6005,65-74 years,2015,72,5818,65,0.012375386730835339
"Amador County, CA",6005,65-74 years,2016,101,6055,65,0.016680429397192404
"Amador County, CA",6005,75-84 years,1999,111,2195,75,0.05056947608200456
"Amador County, CA",6005,75-84 years,2000,139,2227,75,0.06241580601706331
"Amador County, CA",6005,75-84 years,2001,127,2290,75,0.055458515283842796
"Amador County, CA",6005,75-84 years,2002,119,2369,75,0.050232165470662726
"Amador County, CA",6005,75-84 years,2003,111,2430,75,0.04567901234567901
"Amador County, CA",6005,75-84 years,2004,115,2432,75,0.047286184210526314
"Amador County, CA",6005,75-84 years,2005,119,2444,75,0.04869067103109656
"Amador County, CA",6005,75-84 years,2006,115,2426,75,0.04740313272877164
"Amador County, CA",6005,75-84 years,2007,110,2414,75,0.045567522783761395
"Amador County, CA",6005,75-84 years,2008,114,2384,75,0.047818791946308725
"Amador County, CA",6005,75-84 years,2009,102,2372,75,0.04300168634064081
"Amador County, CA",6005,75-84 years,2010,106,2408,75,0.04401993355481727
"Amador County, CA",6005,75-84 years,2011,108,2387,75,0.04524507750314202
"Amador County, CA",6005,75-84 years,2012,106,2413,75,0.043928719436386245
"Amador County, CA",6005,75-84 years,2013,101,2425,75,0.04164948453608248
"Amador County, CA",6005,75-84 years,2014,94,2533,75,0.037110146071851556
"Amador County, CA",6005,75-84 years,2015,127,2603,75,0.04878985785631963
"Amador County, CA",6005,75-84 years,2016,117,2674,75,0.043754674644727
"Amador County, CA",6005,85+ years,1999,116,629,85,0.18441971383147854
"Amador County, CA",6005,85+ years,2000,80,645,85,0.12403100775193798
"Amador County, CA",6005,85+ years,2001,109,687,85,0.1586608442503639
"Amador County, CA",6005,85+ years,2002,101,741,85,0.13630229419703105
"Amador County, CA",6005,85+ years,2003,111,783,85,0.1417624521072797
"Amador County, CA",6005,85+ years,2004,101,785,85,0.1286624203821656
"Amador County, CA",6005,85+ years,2005,132,836,85,0.15789473684210525
"Amador County, CA",6005,85+ years,2006,131,851,85,0.15393654524089306
"Amador County, CA",6005,85+ years,2007,117,907,85,0.12899669239250275
"Amador County, CA",6005,85+ years,2008,134,920,85,0.14565217391304347
"Amador County, CA",6005,85+ years,2009,120,985,85,0.1218274111675127
"Amador County, CA",6005,85+ years,2010,147,1002,85,0.1467065868263473
"Amador County, CA",6005,85+ years,2011,162,1046,85,0.15487571701720843
"Amador County, CA",6005,85+ years,2012,140,1092,85,0.1282051282051282
"Amador County, CA",6005,85+ years,2013,139,1128,85,0.12322695035460993
"Amador County, CA",6005,85+ years,2014,177,1123,85,0.15761353517364202
"Amador County, CA",6005,85+ years,2015,142,1122,85,0.1265597147950089
"Amador County, CA",6005,85+ years,2016,141,1081,85,0.13043478260869565
"Butte County, CA",6007,< 1 year,2000,14,2207,0,0.006343452650657001
"Butte County, CA",6007,< 1 year,2001,10,2247,0,0.004450378282153983
"Butte County, CA",6007,< 1 year,2002,18,2243,0,0.008024966562639322
"Butte County, CA",6007,< 1 year,2003,15,2280,0,0.006578947368421052
"Butte County, CA",6007,< 1 year,2004,14,2377,0,0.005889777029869584
"Butte County, CA",6007,< 1 year,2005,20,2313,0,0.00864677907479464
"Butte County, CA",6007,< 1 year,2006,16,2506,0,0.006384676775738229
"Butte County, CA",6007,< 1 year,2007,20,2494,0,0.00801924619085806
"Butte County, CA",6007,< 1 year,2008,14,2508,0,0.0055821371610845294
"Butte County, CA",6007,< 1 year,2009,12,2462,0,0.00487408610885459
"Butte County, CA",6007,< 1 year,2010,12,2420,0,0.0049586776859504135
"Butte County, CA",6007,< 1 year,2011,12,2424,0,0.0049504950495049506
"Butte County, CA",6007,< 1 year,2012,12,2382,0,0.005037783375314861
"Butte County, CA",6007,< 1 year,2013,15,2311,0,0.006490696668109044
"Butte County, CA",6007,< 1 year,2014,12,2470,0,0.004858299595141701
"Butte County, CA",6007,< 1 year,2016,13,2488,0,0.00522508038585209
"Butte County, CA",6007,15-19 years,2000,10,17101,15,5.847611250804046e-4
"Butte County, CA",6007,15-19 years,2001,12,18406,15,6.519613169618602e-4
"Butte County, CA",6007,15-19 years,2002,12,18778,15,6.390456917669613e-4
"Butte County, CA",6007,15-19 years,2003,11,18719,15,5.876382285378493e-4
"Butte County, CA",6007,15-19 years,2004,14,18798,15,7.447600808596659e-4
"Butte County, CA",6007,15-19 years,2006,14,18856,15,7.42469240560034e-4
"Butte County, CA",6007,15-19 years,2015,10,15686,15,6.375111564452378e-4
"Butte County, CA",6007,20-24 years,1999,17,18745,20,9.069085089357162e-4
"Butte County, CA",6007,20-24 years,2000,11,19648,20,5.598534201954398e-4
"Butte County, CA",6007,20-24 years,2001,20,20838,20,9.597850081581726e-4
"Butte County, CA",6007,20-24 years,2002,14,22471,20,6.230252325219171e-4
"Butte County, CA",6007,20-24 years,2003,18,23556,20,7.641365257259297e-4
"Butte County, CA",6007,20-24 years,2004,16,24252,20,6.597394029358403e-4
"Butte County, CA",6007,20-24 years,2005,16,24675,20,6.484295845997973e-4
"Butte County, CA",6007,20-24 years,2006,16,24632,20,6.495615459564793e-4
"Butte County, CA",6007,20-24 years,2007,15,24046,20,6.238043749480163e-4
"Butte County, CA",6007,20-24 years,2008,23,23731,20,9.691964097593864e-4
"Butte County, CA",6007,20-24 years,2010,18,22818,20,7.888509071785432e-4
"Butte County, CA",6007,20-24 years,2011,19,24845,20,7.647413966592875e-4
"Butte County, CA",6007,20-24 years,2013,20,26561,20,7.529836979029404e-4
"Butte County, CA",6007,20-24 years,2014,16,26488,20,6.040471156750226e-4
"Butte County, CA",6007,20-24 years,2015,18,25852,20,6.9627108154108e-4
"Butte County, CA",6007,20-24 years,2016,16,25272,20,6.331117442228553e-4
"Butte County, CA",6007,25-34 years,1999,24,23431,25,0.0010242840681148906
"Butte County, CA",6007,25-34 years,2000,26,23087,25,0.0011261749036254169
"Butte County, CA",6007,25-34 years,2001,29,22483,25,0.0012898634523862474
"Butte County, CA",6007,25-34 years,2002,19,22403,25,8.481007007990002e-4
"Butte County, CA",6007,25-34 years,2003,23,22434,25,0.0010252295622715521
"Butte County, CA",6007,25-34 years,2004,28,22550,25,0.0012416851441241685
